word,rank,freq
"government",207,4.193277534786937e-4
"night",208,4.1834109994109676e-4
"yet",209,4.143944857907091e-4
"system",210,4.1340783225311215e-4
"four",211,4.114345251779183e-4
"better",212,4.114345251779183e-4
"nothing",213,4.0847456456512754e-4
"told",214,4.074879110275306e-4
"eyes",215,4.02554643339546e-4
"city",216,4.0156798980194903e-4
"why",217,3.9860802918915825e-4
"president",218,3.9860802918915825e-4
"going",219,3.9860802918915825e-4
"present",220,3.976213756515613e-4
"days",221,3.976213756515613e-4
"point",222,3.966347221139644e-4
"look",223,3.956480685763675e-4
"didnt",224,3.956480685763675e-4
"find",225,3.9367476150117364e-4
"second",226,3.926881079635767e-4
"room",227,3.926881079635767e-4
"asked",228,3.926881079635767e-4
"social",229,3.9170145442597975e-4
"next",230,3.9170145442597975e-4
"later",231,3.9170145442597975e-4
"group",232,3.9170145442597975e-4
"business",233,3.9071480088838286e-4
"knew",234,3.897281473507859e-4
"program",235,3.8874149381318897e-4
"give",236,3.877548402755921e-4
"side",237,3.8676818673799514e-4
"half",238,3.8676818673799514e-4
"white",239,3.808482655124136e-4
"toward",240,3.808482655124136e-4
"face",241,3.808482655124136e-4
"young",242,3.7986161197481663e-4
"let",243,3.7986161197481663e-4
"five",244,3.7986161197481663e-4
"form",245,3.778883048996228e-4
"per",246,3.74928344286832e-4
"given",247,3.74928344286832e-4
"order",248,3.739416907492351e-4
"large",249,3.729550372116382e-4
"several",250,3.7196838367404124e-4
"national",251,3.709817301364443e-4
"important",252,3.699950765988474e-4
"rather",253,3.680217695236535e-4
"possible",254,3.680217695236535e-4
"big",255,3.660484624484597e-4
"case",256,3.6506180891086274e-4
"among",257,3.6506180891086274e-4
"often",258,3.6407515537326585e-4
"things",259,3.630885018356689e-4
"john",260,3.630885018356689e-4
"early",261,3.630885018356689e-4
"looked",262,3.6210184829807196e-4
"ever",263,3.6111519476047507e-4
"best",264,3.561819270724904e-4
"become",265,3.561819270724904e-4
"need",266,3.551952735348935e-4
"within",267,3.5420861999729657e-4
"felt",268,3.5223531292210273e-4
"children",269,3.5026200584690884e-4
"along",270,3.5026200584690884e-4
"saw",271,3.48288698771715e-4
"light",272,3.4631539169652117e-4
"church",273,3.4631539169652117e-4
"power",274,3.4532873815892423e-4
"least",275,3.384221633957457e-4
"family",276,3.3447554924535806e-4
"others",277,3.295422815573734e-4
"interest",278,3.295422815573734e-4
"development",279,3.295422815573734e-4
"thing",280,3.285556280197765e-4
"open",281,3.285556280197765e-4
"seemed",282,3.2756897448217955e-4
"want",283,3.246090138693888e-4
"god",284,3.2362236033179183e-4
"area",285,3.2362236033179183e-4
"mind",286,3.2263570679419494e-4
"members",287,3.2263570679419494e-4
"help",288,3.21649053256598e-4
"country",289,3.2066239971900105e-4
"service",290,3.186890926438072e-4
"turned",291,3.1770243910621027e-4
"door",292,3.167157855686134e-4
"law",293,3.1572913203101644e-4
"done",294,3.1572913203101644e-4
"although",295,3.147424784934195e-4
"whole",296,3.137558249558226e-4
"line",297,3.117825178806287e-4
"problem",298,3.107958643430318e-4
"sense",299,3.098092108054349e-4
"kind",300,3.0882255726783793e-4
"different",301,3.0882255726783793e-4
"certain",302,3.0882255726783793e-4
"thus",303,3.0783590373024104e-4
"began",304,3.0783590373024104e-4
"means",305,3.0586259665504715e-4
"matter",306,3.0487594311745026e-4
"perhaps",307,3.029026360422564e-4
"times",308,3.019159825046595e-4
"name",309,3.019159825046595e-4
"york",310,3.0092932896706254e-4
"itself",311,3.0092932896706254e-4
"human",312,2.9796936835427176e-4
"action",313,2.9796936835427176e-4
"above",314,2.969827148166748e-4
"week",315,2.9402275420388404e-4
"free",316,2.890894865158994e-4
"company",317,2.890894865158994e-4
"hands",318,2.881028329783025e-4
"example",319,2.881028329783025e-4
"show",320,2.871161794407056e-4
"local",321,2.871161794407056e-4
"history",322,2.8612952590310864e-4
"whether",323,2.821829117527209e-4
"gave",324,2.8119625821512403e-4
"either",325,2.8119625821512403e-4
"act",326,2.8119625821512403e-4
"today",327,2.802096046775271e-4
"feet",328,2.802096046775271e-4
"death",329,2.802096046775271e-4
"past",330,2.7922295113993014e-4
"body",331,2.7922295113993014e-4
"across",332,2.7922295113993014e-4
"quite",333,2.7823629760233325e-4
"taken",334,2.772496440647363e-4
"anything",335,2.7626299052713936e-4
"word",336,2.7527633698954247e-4
"seen",337,2.7527633698954247e-4
"having",338,2.7527633698954247e-4
"field",339,2.7527633698954247e-4
"am",340,2.7527633698954247e-4
"car",341,2.742896834519455e-4
"c",342,2.742896834519455e-4
"im",343,2.723163763767517e-4
"experience",344,2.723163763767517e-4
"really",345,2.7132972283915475e-4
"money",346,2.7132972283915475e-4
"words",347,2.703430693015578e-4
"class",348,2.703430693015578e-4
"already",349,2.693564157639609e-4
"tell",350,2.67383108688767e-4
"information",351,2.67383108688767e-4
"college",352,2.67383108688767e-4
"together",353,2.6639645515117013e-4
"themselves",354,2.6639645515117013e-4
"sure",355,2.6639645515117013e-4
"making",356,2.6639645515117013e-4
"full",357,2.654098016135732e-4
"air",358,2.6442314807597624e-4
"shall",359,2.6343649453837935e-4
"known",360,2.624498410007824e-4
"held",361,2.624498410007824e-4
"period",362,2.6146318746318546e-4
"political",363,2.604765339255886e-4
"keep",364,2.604765339255886e-4
"real",365,2.5948988038799163e-4
"miss",366,2.585032268503947e-4
"probably",367,2.5652991977520085e-4
"seems",368,2.555432662376039e-4
"question",369,2.555432662376039e-4
"century",370,2.555432662376039e-4
"cannot",371,2.54556612700007e-4
"behind",372,2.54556612700007e-4
"office",373,2.525833056248131e-4
"major",374,2.525833056248131e-4
"brought",375,2.4962334501202235e-4
"whose",376,2.4863669147442546e-4
"special",377,2.4863669147442546e-4
"federal",378,2.476500379368285e-4
"cost",379,2.476500379368285e-4
"boy",380,2.476500379368285e-4
"south",381,2.456767308616347e-4
"self",382,2.456767308616347e-4
"s",383,2.456767308616347e-4
"economic",384,2.456767308616347e-4
"problems",385,2.4469007732403773e-4
"study",386,2.4370342378644082e-4
"six",387,2.4370342378644082e-4
"heard",388,2.4370342378644082e-4
"moment",389,2.427167702488439e-4
"became",390,2.427167702488439e-4
"ago",391,2.427167702488439e-4
"run",392,2.4173011671124695e-4
"job",393,2.4173011671124695e-4
"available",394,2.4173011671124695e-4
"west",395,2.4074346317365004e-4
"street",396,2.4074346317365004e-4
"short",397,2.4074346317365004e-4
"result",398,2.4074346317365004e-4
"position",399,2.3877015609845617e-4
"change",400,2.3877015609845617e-4
"age",401,2.3877015609845617e-4
"reason",402,2.3778350256085926e-4
"individual",403,2.3778350256085926e-4
"board",404,2.3778350256085926e-4
"turn",405,2.3679684902326234e-4
"close",406,2.358101954856654e-4
"areas",407,2.358101954856654e-4
"society",408,2.3383688841047156e-4
"love",409,2.3383688841047156e-4
"level",410,2.3285023487287462e-4
"court",411,2.3087692779768078e-4
"true",412,2.2989027426008384e-4
"control",413,2.2989027426008384e-4
"type",414,2.2890362072248692e-4
"ill",415,2.2890362072248692e-4
"force",416,2.2890362072248692e-4
"community",417,2.2890362072248692e-4
"wife",418,2.2791696718489e-4
"front",419,2.2791696718489e-4
"seem",420,2.2594366010969614e-4
"policy",421,2.2594366010969614e-4
"hard",422,2.2594366010969614e-4
"future",423,2.2594366010969614e-4
"center",424,2.2594366010969614e-4
"clear",425,2.2495700657209922e-4
"town",426,2.2397035303450228e-4
"woman",427,2.2298369949690536e-4
"wanted",428,2.2298369949690536e-4
"voice",429,2.2298369949690536e-4
"girl",430,2.2199704595930844e-4
"department",431,2.2199704595930844e-4
"common",432,2.2199704595930844e-4
"party",433,2.210103924217115e-4
"black",434,2.210103924217115e-4
"top",435,2.2002373888411458e-4
"surface",436,2.2002373888411458e-4
"necessary",437,2.2002373888411458e-4
"land",438,2.2002373888411458e-4
"tax",439,2.1903708534651766e-4
"sometimes",440,2.1903708534651766e-4
"rate",441,2.1903708534651766e-4
"following",442,2.1903708534651766e-4
"music",443,2.1805043180892072e-4
"mother",444,2.1805043180892072e-4
"students",445,2.170637782713238e-4
"military",446,2.1607712473372689e-4
"low",447,2.1607712473372689e-4
"third",448,2.1509047119612994e-4
"further",449,2.1509047119612994e-4
"child",450,2.1509047119612994e-4
"university",451,2.1410381765853302e-4
"red",452,2.1410381765853302e-4
"b",453,2.1410381765853302e-4
"provide",454,2.131171641209361e-4
"feel",455,2.131171641209361e-4
"education",456,2.131171641209361e-4
"able",457,2.131171641209361e-4
"effect",458,2.1213051058333916e-4
"nations",459,2.1114385704574224e-4
"morning",460,2.1114385704574224e-4
"total",461,2.1015720350814533e-4
"stood",462,2.0917054997054838e-4
"road",463,2.0917054997054838e-4
"near",464,2.0917054997054838e-4
"art",465,2.0818389643295147e-4
"outside",466,2.0719724289535455e-4
"figure",467,2.0719724289535455e-4
"north",468,2.062105893577576e-4
"washington",469,2.0522393582016069e-4
"million",470,2.0522393582016069e-4
"value",471,2.0423728228256377e-4
"leave",472,2.0423728228256377e-4
"usually",473,2.0325062874496682e-4
"cut",474,2.0325062874496682e-4
"therefore",475,2.022639752073699e-4
"sound",476,2.022639752073699e-4
"play",477,2.022639752073699e-4
"plan",478,2.022639752073699e-4
"fire",479,2.022639752073699e-4
"table",480,2.01277321669773e-4
"evidence",481,2.01277321669773e-4
"english",482,2.01277321669773e-4
"strong",483,2.0029066813217604e-4
"book",484,2.0029066813217604e-4
"range",485,1.9930401459457913e-4
"various",486,1.983173610569822e-4
"peace",487,1.983173610569822e-4
"living",488,1.983173610569822e-4
"believe",489,1.983173610569822e-4
"says",490,1.9733070751938527e-4
"modern",491,1.9733070751938527e-4
"mean",492,1.9733070751938527e-4
"soon",493,1.9634405398178835e-4
"single",494,1.9535740044419143e-4
"schools",495,1.9535740044419143e-4
"looking",496,1.9535740044419143e-4
"lines",497,1.9535740044419143e-4
"secretary",498,1.9437074690659449e-4
"process",499,1.9437074690659449e-4
"personal",500,1.9437074690659449e-4
"minutes",501,1.9437074690659449e-4
"longer",502,1.9437074690659449e-4
"alone",503,1.9437074690659449e-4
"women",504,1.9338409336899757e-4
"situation",505,1.9338409336899757e-4
"months",506,1.9338409336899757e-4
"idea",507,1.9338409336899757e-4
"gone",508,1.9338409336899757e-4
"section",509,1.9239743983140065e-4
"nor",510,1.9239743983140065e-4
"increase",511,1.9239743983140065e-4
"started",512,1.914107862938037e-4
"private",513,1.914107862938037e-4
"pressure",514,1.914107862938037e-4
"america",515,1.914107862938037e-4
"ground",516,1.904241327562068e-4
"dark",517,1.904241327562068e-4
"stage",518,1.8943747921860987e-4
"nature",519,1.8943747921860987e-4
"east",520,1.8943747921860987e-4
"dr",521,1.8943747921860987e-4
"finally",522,1.8845082568101293e-4
"kept",523,1.87464172143416e-4
"values",524,1.864775186058191e-4
"needed",525,1.864775186058191e-4
"father",526,1.864775186058191e-4
"call",527,1.864775186058191e-4
"greater",528,1.8549086506822215e-4
"view",529,1.8450421153062523e-4
"thats",530,1.8450421153062523e-4
"expected",531,1.8450421153062523e-4
"union",532,1.8253090445543137e-4
"ten",533,1.8253090445543137e-4
"space",534,1.8253090445543137e-4
"everything",535,1.8253090445543137e-4
"spirit",536,1.8154425091783445e-4
"basis",537,1.8154425091783445e-4
"brown",538,1.8055759738023753e-4
"taking",539,1.795709438426406e-4
"required",540,1.795709438426406e-4
"wrote",541,1.7858429030504367e-4
"ones",542,1.7858429030504367e-4
"moved",543,1.7858429030504367e-4
"late",544,1.7858429030504367e-4
"hundred",545,1.7858429030504367e-4
"except",546,1.7858429030504367e-4
"conditions",547,1.7858429030504367e-4
"complete",548,1.7858429030504367e-4
"support",549,1.7759763676744676e-4
"return",550,1.7759763676744676e-4
"hour",551,1.7759763676744676e-4
"recent",552,1.766109832298498e-4
"particular",553,1.766109832298498e-4
"hours",554,1.766109832298498e-4
"attention",555,1.766109832298498e-4
"person",556,1.756243296922529e-4
"live",557,1.756243296922529e-4
"hope",558,1.756243296922529e-4
"data",559,1.756243296922529e-4
"middle",560,1.7463767615465598e-4
"dead",561,1.7463767615465598e-4
"coming",562,1.7463767615465598e-4
"beyond",563,1.7463767615465598e-4
"st",564,1.7365102261705903e-4
"heart",565,1.7365102261705903e-4
"forces",566,1.7365102261705903e-4
"else",567,1.7365102261705903e-4
"costs",568,1.7365102261705903e-4
"cold",569,1.7365102261705903e-4
"th",570,1.7266436907946211e-4
"story",571,1.7266436907946211e-4
"material",572,1.7266436907946211e-4
"fine",573,1.7266436907946211e-4
"feeling",574,1.7266436907946211e-4
"developed",575,1.7266436907946211e-4
"couldnt",576,1.7266436907946211e-4
"twenty",577,1.716777155418652e-4
"research",578,1.716777155418652e-4
"report",579,1.716777155418652e-4
"read",580,1.716777155418652e-4
"lost",581,1.716777155418652e-4
"inside",582,1.716777155418652e-4
"wall",583,1.7069106200426825e-4
"son",584,1.7069106200426825e-4
"miles",585,1.7069106200426825e-4
"instead",586,1.7069106200426825e-4
"industry",587,1.7069106200426825e-4
"pay",588,1.6970440846667133e-4
"makes",589,1.6970440846667133e-4
"followed",590,1.6970440846667133e-4
"amount",591,1.6970440846667133e-4
"added",592,1.6970440846667133e-4
"move",593,1.6871775492907442e-4
"including",594,1.6871775492907442e-4
"basic",595,1.6871775492907442e-4
"tried",596,1.6773110139147747e-4
"simply",597,1.6773110139147747e-4
"reached",598,1.6773110139147747e-4
"hold",599,1.6773110139147747e-4
"defense",600,1.6773110139147747e-4
"cant",601,1.6773110139147747e-4
"building",602,1.6773110139147747e-4
"wide",603,1.6674444785388056e-4
"central",604,1.6674444785388056e-4
"picture",605,1.6575779431628364e-4
"equipment",606,1.6575779431628364e-4
"committee",607,1.6575779431628364e-4
"simple",608,1.647711407786867e-4
"island",609,1.647711407786867e-4
"shown",610,1.6378448724108978e-4
"religious",611,1.6378448724108978e-4
"p",612,1.6378448724108978e-4
"care",613,1.6378448724108978e-4
"actually",614,1.6378448724108978e-4
"river",615,1.6279783370349286e-4
"friends",616,1.6279783370349286e-4
"sort",617,1.6181118016589591e-4
"rest",618,1.6181118016589591e-4
"received",619,1.6181118016589591e-4
"medical",620,1.6181118016589591e-4
"higher",621,1.6181118016589591e-4
"getting",622,1.6181118016589591e-4
"beginning",623,1.6181118016589591e-4
"trying",624,1.60824526628299e-4
"terms",625,1.60824526628299e-4
"foreign",626,1.60824526628299e-4
"floor",627,1.60824526628299e-4
"doing",628,1.60824526628299e-4
"boys",629,1.60824526628299e-4
"indeed",630,1.5983787309070208e-4
"especially",631,1.5983787309070208e-4
"subject",632,1.5885121955310514e-4
"difficult",633,1.5885121955310514e-4
"cent",634,1.5885121955310514e-4
"administration",635,1.5885121955310514e-4
"meeting",636,1.5786456601550822e-4
"walked",637,1.568779124779113e-4
"passed",638,1.568779124779113e-4
"paper",639,1.568779124779113e-4
"market",640,1.568779124779113e-4
"earth",641,1.568779124779113e-4
"labor",642,1.5589125894031436e-4
"county",643,1.5589125894031436e-4
"bring",644,1.5589125894031436e-4
"blue",645,1.5589125894031436e-4
"training",646,1.5490460540271744e-4
"similar",647,1.5490460540271744e-4
"police",648,1.5490460540271744e-4
"natural",649,1.5490460540271744e-4
"written",650,1.5391795186512052e-4
"working",651,1.5391795186512052e-4
"talk",652,1.5391795186512052e-4
"property",653,1.5391795186512052e-4
"international",654,1.5391795186512052e-4
"hall",655,1.5391795186512052e-4
"growth",656,1.5391795186512052e-4
"final",657,1.5391795186512052e-4
"england",658,1.5391795186512052e-4
"congress",659,1.5293129832752358e-4
"wasnt",660,1.5194464478992666e-4
"start",661,1.5194464478992666e-4
"non",662,1.5194464478992666e-4
"girls",663,1.5194464478992666e-4
"food",664,1.5194464478992666e-4
"western",665,1.5095799125232974e-4
"weeks",666,1.5095799125232974e-4
"suddenly",667,1.5095799125232974e-4
"purpose",668,1.5095799125232974e-4
"issue",669,1.5095799125232974e-4
"hear",670,1.5095799125232974e-4
"answer",671,1.5095799125232974e-4
"stand",672,1.499713377147328e-4
"needs",673,1.499713377147328e-4
"youre",674,1.4898468417713588e-4
"nation",675,1.4898468417713588e-4
"likely",676,1.4898468417713588e-4
"hair",677,1.4898468417713588e-4
"fall",678,1.4898468417713588e-4
"countries",679,1.4898468417713588e-4
"considered",680,1.4898468417713588e-4
"sat",681,1.4799803063953896e-4
"lay",682,1.4799803063953896e-4
"square",683,1.4701137710194202e-4
"results",684,1.4701137710194202e-4
"ready",685,1.4701137710194202e-4
"production",686,1.4701137710194202e-4
"paid",687,1.4701137710194202e-4
"happened",688,1.4701137710194202e-4
"french",689,1.4701137710194202e-4
"entire",690,1.4701137710194202e-4
"color",691,1.4701137710194202e-4
"cases",692,1.4701137710194202e-4
"william",693,1.460247235643451e-4
"thinking",694,1.460247235643451e-4
"stock",695,1.460247235643451e-4
"step",696,1.460247235643451e-4
"meet",697,1.460247235643451e-4
"involved",698,1.460247235643451e-4
"earlier",699,1.460247235643451e-4
"difference",700,1.460247235643451e-4
"d",701,1.460247235643451e-4
"letter",702,1.4503807002674818e-4
"club",703,1.4503807002674818e-4
"christian",704,1.4503807002674818e-4
"aid",705,1.4503807002674818e-4
"whom",706,1.4405141648915124e-4
"particularly",707,1.4405141648915124e-4
"month",708,1.4405141648915124e-4
"lot",709,1.4405141648915124e-4
"increased",710,1.4405141648915124e-4
"anti",711,1.4405141648915124e-4
"using",712,1.4306476295155432e-4
"trade",713,1.4306476295155432e-4
"sent",714,1.4306476295155432e-4
"points",715,1.4306476295155432e-4
"lower",716,1.4306476295155432e-4
"knowledge",717,1.4306476295155432e-4
"effort",718,1.4306476295155432e-4
"below",719,1.4306476295155432e-4
"yes",720,1.420781094139574e-4
"size",721,1.420781094139574e-4
"industrial",722,1.420781094139574e-4
"temperature",723,1.4109145587636046e-4
"ideas",724,1.4109145587636046e-4
"eye",725,1.4109145587636046e-4
"certainly",726,1.4109145587636046e-4
"bill",727,1.4109145587636046e-4
"bad",728,1.4109145587636046e-4
"reading",729,1.4010480233876354e-4
"moral",730,1.4010480233876354e-4
"methods",731,1.4010480233876354e-4
"method",732,1.4010480233876354e-4
"due",733,1.4010480233876354e-4
"deal",734,1.4010480233876354e-4
"addition",735,1.4010480233876354e-4
"throughout",736,1.3911814880116662e-4
"statement",737,1.3911814880116662e-4
"showed",738,1.3911814880116662e-4
"record",739,1.3911814880116662e-4
"questions",740,1.3911814880116662e-4
"neither",741,1.3911814880116662e-4
"nearly",742,1.3911814880116662e-4
"kennedy",743,1.3911814880116662e-4
"directly",744,1.3911814880116662e-4
"decided",745,1.3911814880116662e-4
"try",746,1.3813149526356968e-4
"programs",747,1.3813149526356968e-4
"anyone",748,1.3813149526356968e-4
"southern",749,1.3714484172597276e-4
"services",750,1.3714484172597276e-4
"science",751,1.3714484172597276e-4
"physical",752,1.3714484172597276e-4
"member",753,1.3714484172597276e-4
"according",754,1.3714484172597276e-4
"soviet",755,1.3615818818837585e-4
"remember",756,1.3615818818837585e-4
"e",757,1.3615818818837585e-4
"volume",758,1.351715346507789e-4
"understand",759,1.351715346507789e-4
"trouble",760,1.351715346507789e-4
"strength",761,1.351715346507789e-4
"normal",762,1.351715346507789e-4
"hot",763,1.351715346507789e-4
"comes",764,1.351715346507789e-4
"trial",765,1.3418488111318198e-4
"summer",766,1.3418488111318198e-4
"student",767,1.3418488111318198e-4
"population",768,1.3418488111318198e-4
"sales",769,1.3319822757558507e-4
"merely",770,1.3319822757558507e-4
"led",771,1.3319822757558507e-4
"district",772,1.3319822757558507e-4
"concerned",773,1.3319822757558507e-4
"bed",774,1.3319822757558507e-4
"appeared",775,1.3319822757558507e-4
"ran",776,1.3221157403798812e-4
"piece",777,1.3221157403798812e-4
"maybe",778,1.3221157403798812e-4
"friend",779,1.3221157403798812e-4
"direction",780,1.3221157403798812e-4
"plane",781,1.312249205003912e-4
"literature",782,1.312249205003912e-4
"list",783,1.312249205003912e-4
"husband",784,1.312249205003912e-4
"green",785,1.312249205003912e-4
"game",786,1.312249205003912e-4
"evening",787,1.312249205003912e-4
"direct",788,1.312249205003912e-4
"degree",789,1.312249205003912e-4
"continued",790,1.312249205003912e-4
"blood",791,1.312249205003912e-4
"army",792,1.312249205003912e-4
"systems",793,1.302382669627943e-4
"seven",794,1.302382669627943e-4
"provided",795,1.302382669627943e-4
"met",796,1.302382669627943e-4
"influence",797,1.302382669627943e-4
"george",798,1.302382669627943e-4
"generally",799,1.302382669627943e-4
"de",800,1.302382669627943e-4
"cause",801,1.302382669627943e-4
"average",802,1.302382669627943e-4
"association",803,1.302382669627943e-4
"wrong",804,1.2925161342519734e-4
"works",805,1.2925161342519734e-4
"ways",806,1.2925161342519734e-4
"spring",807,1.2925161342519734e-4
"shot",808,1.2925161342519734e-4
"opened",809,1.2925161342519734e-4
"meaning",810,1.2925161342519734e-4
"j",811,1.2925161342519734e-4
"hell",812,1.2925161342519734e-4
"freedom",813,1.2925161342519734e-4
"former",814,1.2925161342519734e-4
"changes",815,1.2925161342519734e-4
"chance",816,1.2925161342519734e-4
"theory",817,1.2826495988760043e-4
"term",818,1.2826495988760043e-4
"series",819,1.2826495988760043e-4
